date, project, platform, content_type, title, platform_color,project_color, views_daily
2025-06-19,LanCat,荷语猫shorts,af1,af1,#3B82F6,#4F46E5,526,
2025-06-19,LanCat,英语猫shorts,ep1,ep1,#059669,#4F46E5,6
2025-06-23,LanCat,荷语猫shorts,af2,af2,#3B82F6,#4F46E5,638
2025-06-23,LanCat,英语猫shorts,ep2,ep2,#059669,#4F46E5,6
2025-06-30,LanCat,荷语猫shorts,af3,af3,#3B82F6,#4F46E5,1100
2025-06-30,LanCat,英语猫shorts,ep3,ep3,#059669,#4F46E5,312
2025-07-03,LanCat,荷语猫shorts,af4,af4,#3B82F6,#4F46E5,675
2025-07-03,LanCat,英语猫shorts,ep4,ep4,#059669,#4F46E5,4
2025-07-07,LanCat,荷语猫shorts,af5,af5,#3B82F6,#4F46E5,646
2025-07-07,LanCat,英语猫shorts,ep5,ep5,#059669,#4F46E5,498
2025-07-14,LanCat,荷语猫shorts,af6,af6,#3B82F6,#4F46E5,736
2025-07-14,LanCat,英语猫shorts,ep6,ep6,#059669,#4F46E5,0
2025-07-28,LanCat,荷语猫shorts,af7,af7,#3B82F6,#4F46E5,899
2025-07-28,LanCat,英语猫shorts,ep7,ep7,#059669,#4F46E5,529
2025-07-31,LanCat,荷语猫shorts,af8,af8,#3B82F6,#4F46E5,71
2025-07-31,LanCat,英语猫shorts,ep8,ep8,#059669,#4F46E5,824
2025-08-11,LanCat,荷语猫shorts,af9,af9,#3B82F6,#4F46E5,505
2025-08-11,LanCat,英语猫shorts,ep9,ep9,#059669,#4F46E5,515
2025-08-18,LanCat,荷语猫shorts,af10,af10,#3B82F6,#4F46E5,560
2025-08-18,LanCat,英语猫shorts,ep10,ep10,#059669,#4F46E5,3200
2025-08-25,LanCat,荷语猫shorts,af11,af11,#3B82F6,#4F46E5,13
2025-08-25,LanCat,英语猫shorts,ep11,ep11,#059669,#4F46E5,631
2025-09-01,LanCat,荷语猫shorts,af12,af12,#3B82F6,#4F46E5,38
2025-09-01,LanCat,英语猫shorts,ep12,ep12,#059669,#4F46E5,2300
2025-09-08,LanCat,荷语猫shorts,af13,af13,#3B82F6,#4F46E5,508
2025-09-08,LanCat,英语猫shorts,ep13,ep13,#059669,#4F46E5,12
2025-09-15,LanCat,荷语猫shorts,af14,af14,#3B82F6,#4F46E5,575
2025-09-15,LanCat,英语猫shorts,ep14,ep14,#059669,#4F46E5,3700
2025-09-22,LanCat,荷语猫shorts,af15,af15,#3B82F6,#4F46E5,876
